time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1175547600,1.33651,1.3381100000000001,1.3319100000000001,1.33301,1.0606978548193567e+308,-9.44550386809402e+307,NaN,NaN,NaN,NaN,1.0606978548193567e+308,-9.44550386809402e+307,NaN,NaN,NaN,NaN,1.0606978548193567e+308,-9.44550386809402e+307,NaN,NaN,NaN,NaN
1175634000,1.33301,1.3381100000000001,1.3318100000000002,1.33671,-1.371546309296145e+308,7.657595349001912e+307,NaN,-1.371546309296145e+308,NaN,NaN,-1.371546309296145e+308,7.657595349001912e+307,NaN,-1.371546309296145e+308,NaN,NaN,-1.371546309296145e+308,7.657595349001912e+307,NaN,-1.371546309296145e+308,NaN,NaN
1175720400,1.33671,1.3442100000000001,1.33531,1.34291,NaN,-1.1622402363325334e+308,NaN,NaN,NaN,NaN,NaN,-1.1622402363325334e+308,NaN,NaN,NaN,NaN,NaN,-1.1622402363325334e+308,NaN,NaN,NaN,NaN
1175806800,1.34291,1.34321,1.33641,1.33751,9.337483366929382e+307,NaN,NaN,9.337483366929382e+307,NaN,NaN,9.337483366929382e+307,NaN,NaN,9.337483366929382e+307,NaN,NaN,9.337483366929382e+307,NaN,NaN,9.337483366929382e+307,NaN,NaN
1176066000,1.33751,1.33861,1.3340100000000001,1.33541,-7.570021695032078e+307,7.149755848897564e+307,NaN,NaN,NaN,NaN,-7.570021695032078e+307,7.149755848897564e+307,NaN,NaN,NaN,NaN,-7.570021695032078e+307,7.149755848897564e+307,NaN,NaN,NaN,NaN
1176152400,1.33541,1.34551,1.33491,1.3439100000000002,1.1489486454808868e+308,-5.796401960085696e+307,1.1489486454808868e+308,NaN,NaN,NaN,1.1489486454808868e+308,-5.796401960085696e+307,1.1489486454808868e+308,NaN,NaN,NaN,1.1489486454808868e+308,-5.796401960085696e+307,1.1489486454808868e+308,NaN,NaN,NaN
1176238800,1.3439100000000002,1.3442100000000001,1.34071,1.34311,NaN,8.797554946340212e+307,NaN,NaN,NaN,NaN,NaN,8.797554946340212e+307,NaN,NaN,NaN,NaN,NaN,8.797554946340212e+307,NaN,NaN,NaN,NaN
1176325200,1.34311,1.35051,1.34291,1.3481100000000001,-7.067989939869507e+307,-1.045486909323997e+308,-7.067989939869507e+307,NaN,NaN,NaN,-7.067989939869507e+307,-1.045486909323997e+308,-7.067989939869507e+307,NaN,NaN,NaN,-7.067989939869507e+307,-1.045486909323997e+308,-7.067989939869507e+307,NaN,NaN,NaN
1176411600,1.3481100000000001,1.35531,1.3481100000000001,1.35311,5.730113252418637e+307,1.3518776392217454e+308,NaN,5.730113252418637e+307,NaN,NaN,5.730113252418637e+307,1.3518776392217454e+308,NaN,5.730113252418637e+307,NaN,NaN,5.730113252418637e+307,1.3518776392217454e+308,NaN,5.730113252418637e+307,NaN,NaN
1176670800,1.35551,1.35761,1.35311,1.35341,-8.696944506960984e+307,NaN,-8.696944506960984e+307,NaN,NaN,NaN,-8.696944506960984e+307,NaN,-8.696944506960984e+307,NaN,NaN,NaN,-8.696944506960984e+307,NaN,-8.696944506960984e+307,NaN,NaN,NaN
1176757200,1.35341,1.35941,1.3524100000000001,1.35661,1.0335305307672395e+308,-9.203579117087773e+307,NaN,NaN,NaN,NaN,1.0335305307672395e+308,-9.203579117087773e+307,NaN,NaN,NaN,NaN,1.0335305307672395e+308,-9.203579117087773e+307,NaN,NaN,NaN,NaN
1176843600,1.35661,1.36161,1.35561,1.36081,-1.3364173205197141e+308,7.461463742474105e+307,NaN,-1.3364173205197141e+308,NaN,NaN,-1.3364173205197141e+308,7.461463742474105e+307,NaN,-1.3364173205197141e+308,NaN,NaN,-1.3364173205197141e+308,7.461463742474105e+307,NaN,-1.3364173205197141e+308,NaN,NaN
1176930000,1.36081,1.36191,1.3561100000000001,1.36121,NaN,-1.1324721388640678e+308,NaN,NaN,NaN,NaN,NaN,-1.1324721388640678e+308,NaN,NaN,NaN,NaN,NaN,-1.1324721388640678e+308,NaN,NaN,NaN,NaN
1177016400,1.36121,1.36371,1.35861,1.35931,9.098325311402035e+307,1.3458111982000965e+308,NaN,9.098325311402035e+307,NaN,NaN,9.098325311402035e+307,1.3458111982000965e+308,NaN,9.098325311402035e+307,NaN,NaN,9.098325311402035e+307,1.3458111982000965e+308,NaN,9.098325311402035e+307,NaN,NaN
1177275600,1.3600100000000002,1.36081,1.3541100000000001,1.35761,-7.376133085249307e+307,NaN,-7.376133085249307e+307,NaN,NaN,NaN,-7.376133085249307e+307,NaN,-7.376133085249307e+307,NaN,NaN,NaN,-7.376133085249307e+307,NaN,-7.376133085249307e+307,NaN,NaN,NaN
1177362000,1.35761,1.3643100000000001,1.35481,1.36391,1.1195209813923836e+308,-9.687782200286715e+307,NaN,NaN,NaN,NaN,1.1195209813923836e+308,-9.687782200286715e+307,NaN,NaN,NaN,NaN,1.1195209813923836e+308,-9.687782200286715e+307,NaN,NaN,NaN,NaN
1177448400,1.36391,1.3665100000000001,1.3622100000000001,1.36371,-1.3304202564215833e+308,7.85401360849039e+307,NaN,-1.3304202564215833e+308,NaN,NaN,-1.3304202564215833e+308,7.85401360849039e+307,NaN,-1.3304202564215833e+308,NaN,NaN,-1.3304202564215833e+308,7.85401360849039e+307,NaN,-1.3304202564215833e+308,NaN,NaN
1177534800,1.36371,1.36541,1.3584100000000001,1.3600100000000002,NaN,-1.1920518408798626e+308,NaN,NaN,NaN,NaN,NaN,-1.1920518408798626e+308,NaN,NaN,NaN,NaN,NaN,-1.1920518408798626e+308,NaN,NaN,NaN,NaN
1177621200,1.3600100000000002,1.3682100000000001,1.35861,1.36491,9.576990960024378e+307,NaN,NaN,9.576990960024378e+307,NaN,NaN,9.576990960024378e+307,NaN,NaN,9.576990960024378e+307,NaN,NaN,9.576990960024378e+307,NaN,NaN,9.576990960024378e+307,NaN,NaN
1177880400,1.36491,1.36791,1.35891,1.36471,-7.764193679560095e+307,7.333147962949536e+307,NaN,NaN,NaN,NaN,-7.764193679560095e+307,7.333147962949536e+307,NaN,NaN,NaN,NaN,-7.764193679560095e+307,7.333147962949536e+307,NaN,NaN,NaN,NaN
1177966800,1.36471,1.36731,1.35901,1.3604100000000001,1.1784193190933825e+308,-5.945080380974574e+307,1.1784193190933825e+308,NaN,NaN,NaN,1.1784193190933825e+308,-5.945080380974574e+307,1.1784193190933825e+308,NaN,NaN,NaN,1.1784193190933825e+308,-5.945080380974574e+307,1.1784193190933825e+308,NaN,NaN,NaN
1178053200,1.3604100000000001,1.36121,1.3560100000000002,1.35921,NaN,9.02321330925431e+307,NaN,NaN,NaN,NaN,NaN,9.02321330925431e+307,NaN,NaN,NaN,NaN,NaN,9.02321330925431e+307,NaN,NaN,NaN,NaN
1178139600,1.35921,1.3623100000000001,1.35461,1.35491,-7.249284748330781e+307,-1.0723037767201273e+308,-7.249284748330781e+307,NaN,NaN,NaN,-7.249284748330781e+307,-1.0723037767201273e+308,-7.249284748330781e+307,NaN,NaN,NaN,-7.249284748330781e+307,-1.0723037767201273e+308,-7.249284748330781e+307,NaN,NaN,NaN
1178226000,1.35491,1.36111,1.35351,1.35961,5.87709135982916e+307,1.3865534664018717e+308,NaN,5.87709135982916e+307,NaN,NaN,5.87709135982916e+307,1.3865534664018717e+308,NaN,5.87709135982916e+307,NaN,NaN,5.87709135982916e+307,1.3865534664018717e+308,NaN,5.87709135982916e+307,NaN,NaN
