time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1099605600,2.22463,2.22953,2.21283,2.22203,-8.789383235298056e+307,7.431343491816584e+307,NaN,NaN,NaN,NaN,-8.789383235298056e+307,7.431343491816584e+307,NaN,NaN,NaN,NaN,-8.789383235298056e+307,7.431343491816584e+307,NaN,NaN,NaN,NaN
1099864800,2.21643,2.22513,2.20923,2.21713,1.0468973647411642e+308,-6.04291917692488e+307,1.0468973647411642e+308,NaN,NaN,NaN,1.0468973647411642e+308,-6.04291917692488e+307,1.0468973647411642e+308,NaN,NaN,NaN,1.0468973647411642e+308,-6.04291917692488e+307,1.0468973647411642e+308,NaN,NaN,NaN
1099951200,2.21713,2.22993,2.20933,2.22723,-1.3559587030636488e+308,9.180727193498235e+307,NaN,-1.3559587030636488e+308,NaN,NaN,-1.3559587030636488e+308,9.180727193498235e+307,NaN,-1.3559587030636488e+308,NaN,NaN,-1.3559587030636488e+308,9.180727193498235e+307,NaN,-1.3559587030636488e+308,NaN,NaN
1100037600,2.22723,2.22923,2.2016299999999998,2.20363,NaN,-1.0935100732304023e+308,NaN,NaN,NaN,NaN,NaN,-1.0935100732304023e+308,NaN,NaN,NaN,NaN,NaN,-1.0935100732304023e+308,NaN,NaN,NaN,NaN
1100124000,2.20363,2.2117299999999998,2.19843,2.20253,9.25167469368089e+307,1.41633225053645e+308,NaN,9.25167469368089e+307,NaN,NaN,9.25167469368089e+307,1.41633225053645e+308,NaN,9.25167469368089e+307,NaN,NaN,9.25167469368089e+307,1.41633225053645e+308,NaN,9.25167469368089e+307,NaN,NaN
1100210400,2.20253,2.21893,2.19513,2.21423,-7.523151431054146e+307,NaN,-7.523151431054146e+307,NaN,NaN,NaN,-7.523151431054146e+307,NaN,-7.523151431054146e+307,NaN,NaN,NaN,-7.523151431054146e+307,NaN,-7.523151431054146e+307,NaN,NaN,NaN
1100469600,2.21393,2.22783,2.21223,2.21563,1.1429575491862075e+308,-9.663602003900484e+307,NaN,NaN,NaN,NaN,1.1429575491862075e+308,-9.663602003900484e+307,NaN,NaN,NaN,NaN,1.1429575491862075e+308,-9.663602003900484e+307,NaN,NaN,NaN,NaN
1100556000,2.21563,2.22133,2.20793,2.21373,NaN,7.858116897953401e+307,NaN,NaN,NaN,NaN,NaN,7.858116897953401e+307,NaN,NaN,NaN,NaN,NaN,7.858116897953401e+307,NaN,NaN,NaN,NaN
1100642400,2.21373,2.22293,2.20533,2.22013,-7.051209663130758e+307,-1.1938473009900657e+308,-7.051209663130758e+307,NaN,NaN,NaN,-7.051209663130758e+307,-1.1938473009900657e+308,-7.051209663130758e+307,NaN,NaN,NaN,-7.051209663130758e+307,-1.1938473009900657e+308,-7.051209663130758e+307,NaN,NaN,NaN
1100728800,2.22013,2.23813,2.21323,2.2298299999999998,5.733807102413312e+307,NaN,NaN,5.733807102413312e+307,NaN,NaN,5.733807102413312e+307,NaN,NaN,5.733807102413312e+307,NaN,NaN,5.733807102413312e+307,NaN,NaN,5.733807102413312e+307,NaN,NaN
1100815200,2.2298299999999998,2.23733,2.21083,2.21583,-8.711107536968069e+307,7.365162101634868e+307,NaN,NaN,NaN,NaN,-8.711107536968069e+307,7.365162101634868e+307,NaN,NaN,NaN,NaN,-8.711107536968069e+307,7.365162101634868e+307,NaN,NaN,NaN,NaN
1101074400,2.21713,2.2216299999999998,2.19453,2.20323,1.0375740003922483e+308,-5.989102691073425e+307,1.0375740003922483e+308,NaN,NaN,NaN,1.0375740003922483e+308,-5.989102691073425e+307,1.0375740003922483e+308,NaN,NaN,NaN,1.0375740003922483e+308,-5.989102691073425e+307,1.0375740003922483e+308,NaN,NaN,NaN
1101160800,2.20323,2.22433,2.20003,2.21443,-1.3438829280578807e+308,9.098966299359256e+307,NaN,-1.3438829280578807e+308,NaN,NaN,-1.3438829280578807e+308,9.098966299359256e+307,NaN,-1.3438829280578807e+308,NaN,NaN,-1.3438829280578807e+308,9.098966299359256e+307,NaN,-1.3438829280578807e+308,NaN,NaN
1101247200,2.21443,2.22273,2.21103,2.21803,NaN,-1.0837715896165318e+308,NaN,NaN,NaN,NaN,NaN,-1.0837715896165318e+308,NaN,NaN,NaN,NaN,NaN,-1.0837715896165318e+308,NaN,NaN,NaN,NaN
1101333600,2.21803,2.22403,2.21493,2.22173,9.169281961678783e+307,1.4037188062241368e+308,NaN,9.169281961678783e+307,NaN,NaN,9.169281961678783e+307,1.4037188062241368e+308,NaN,9.169281961678783e+307,NaN,NaN,9.169281961678783e+307,1.4037188062241368e+308,NaN,9.169281961678783e+307,NaN,NaN
1101420000,2.22173,2.23633,2.21713,2.22733,-7.456152425988233e+307,NaN,-7.456152425988233e+307,NaN,NaN,NaN,-7.456152425988233e+307,NaN,-7.456152425988233e+307,NaN,NaN,NaN,-7.456152425988233e+307,NaN,-7.456152425988233e+307,NaN,NaN,NaN
1101679200,2.2279299999999997,2.24753,2.22673,2.24243,1.1327787006903559e+308,-9.577540766725102e+307,NaN,NaN,NaN,NaN,1.1327787006903559e+308,-9.577540766725102e+307,NaN,NaN,NaN,NaN,1.1327787006903559e+308,-9.577540766725102e+307,NaN,NaN,NaN,NaN
1101765600,2.24243,2.27473,2.24093,2.26643,-1.349244884242937e+308,7.788134787573269e+307,NaN,-1.349244884242937e+308,NaN,NaN,-1.349244884242937e+308,7.788134787573269e+307,NaN,-1.349244884242937e+308,NaN,NaN,-1.349244884242937e+308,7.788134787573269e+307,NaN,-1.349244884242937e+308,NaN,NaN
1101852000,2.26643,2.2944299999999997,2.26573,2.28863,NaN,-1.1832152431217653e+308,NaN,NaN,NaN,NaN,NaN,-1.1832152431217653e+308,NaN,NaN,NaN,NaN,NaN,-1.1832152431217653e+308,NaN,NaN,NaN,NaN
1101938400,2.28863,2.29943,2.27993,2.29803,9.72873048117467e+307,NaN,NaN,9.72873048117467e+307,NaN,NaN,9.72873048117467e+307,NaN,NaN,9.72873048117467e+307,NaN,NaN,9.72873048117467e+307,NaN,NaN,9.72873048117467e+307,NaN,NaN
