time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
816386400,1.77201,1.7817100000000001,1.7616100000000001,1.7757100000000001,-8.841383166666196e+307,-9.116602046715352e+307,-8.841383166666196e+307,NaN,NaN,NaN,-8.841383166666196e+307,-9.116602046715352e+307,-8.841383166666196e+307,NaN,NaN,NaN,-8.841383166666196e+307,-9.116602046715352e+307,-8.841383166666196e+307,NaN,NaN,NaN
816472800,1.7757100000000001,1.78731,1.7696100000000001,1.7696100000000001,1.0530910406406745e+308,1.085872171299919e+308,NaN,1.0530910406406745e+308,NaN,NaN,1.0530910406406745e+308,1.085872171299919e+308,NaN,1.0530910406406745e+308,NaN,NaN,1.0530910406406745e+308,1.085872171299919e+308,NaN,1.0530910406406745e+308,NaN,NaN
816559200,1.7696100000000001,1.7836100000000001,1.75791,1.76861,-1.3639808540621594e+308,-1.4064395142047028e+308,-1.3639808540621594e+308,NaN,NaN,NaN,-1.3639808540621594e+308,-1.4064395142047028e+308,-1.3639808540621594e+308,NaN,NaN,NaN,-1.3639808540621594e+308,-1.4064395142047028e+308,-1.3639808540621594e+308,NaN,NaN,NaN
816818400,1.76861,1.78051,1.7615100000000001,1.76721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
816904800,1.76721,1.78001,1.76501,1.77281,9.306409643361966e+307,9.596104093997407e+307,NaN,NaN,NaN,NaN,9.306409643361966e+307,9.596104093997407e+307,NaN,NaN,NaN,NaN,9.306409643361966e+307,9.596104093997407e+307,NaN,NaN,NaN,NaN
816991200,1.77281,1.77681,1.7673100000000002,1.7737100000000001,-7.567660055563301e+307,-7.803229862438918e+307,-7.567660055563301e+307,NaN,NaN,NaN,-7.567660055563301e+307,-7.803229862438918e+307,-7.567660055563301e+307,NaN,NaN,NaN,-7.567660055563301e+307,-7.803229862438918e+307,-7.567660055563301e+307,NaN,NaN,NaN
817077600,1.7737100000000001,1.7837100000000001,1.7734100000000002,1.78011,1.1497195383409976e+308,1.1855085679247206e+308,NaN,1.1497195383409976e+308,NaN,NaN,1.1497195383409976e+308,1.1855085679247206e+308,NaN,1.1497195383409976e+308,NaN,NaN,1.1497195383409976e+308,1.1855085679247206e+308,NaN,1.1497195383409976e+308,NaN,NaN
817164000,1.78011,1.78601,1.77841,1.78101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
817423200,1.78101,1.7998100000000001,1.78091,1.7998100000000001,-7.092926175965543e+307,-7.31371823549085e+307,NaN,NaN,NaN,NaN,-7.092926175965543e+307,-7.31371823549085e+307,NaN,NaN,NaN,NaN,-7.092926175965543e+307,-7.31371823549085e+307,NaN,NaN,NaN,NaN
817509600,1.7998100000000001,1.7998100000000001,1.7856100000000001,1.7856100000000001,5.767729570898499e+307,5.947270265267892e+307,NaN,5.767729570898499e+307,NaN,NaN,5.767729570898499e+307,5.947270265267892e+307,NaN,5.767729570898499e+307,NaN,NaN,5.767729570898499e+307,5.947270265267892e+307,NaN,5.767729570898499e+307,NaN,NaN
817596000,1.7856100000000001,1.79201,1.77601,1.78631,-8.762644372026489e+307,-9.035412232538476e+307,-8.762644372026489e+307,NaN,NaN,NaN,-8.762644372026489e+307,-9.035412232538476e+307,-8.762644372026489e+307,NaN,NaN,NaN,-8.762644372026489e+307,-9.035412232538476e+307,-8.762644372026489e+307,NaN,NaN,NaN
817682400,1.78631,1.80121,1.78221,1.80121,1.0437125172102522e+308,1.0762017086257862e+308,NaN,1.0437125172102522e+308,NaN,NaN,1.0437125172102522e+308,1.0762017086257862e+308,NaN,1.0437125172102522e+308,NaN,NaN,1.0437125172102522e+308,1.0762017086257862e+308,NaN,1.0437125172102522e+308,NaN,NaN
817768800,1.80121,1.80441,1.7897100000000001,1.7897100000000001,-1.3518336361058784e+308,-1.393914171733443e+308,-1.3518336361058784e+308,NaN,NaN,NaN,-1.3518336361058784e+308,-1.393914171733443e+308,-1.3518336361058784e+308,NaN,NaN,NaN,-1.3518336361058784e+308,-1.393914171733443e+308,-1.3518336361058784e+308,NaN,NaN,NaN
818028000,1.7897100000000001,1.7957100000000001,1.78661,1.79201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
818114400,1.79201,1.80411,1.78851,1.79821,9.223529457770152e+307,9.510643973634432e+307,NaN,NaN,NaN,NaN,9.223529457770152e+307,9.510643973634432e+307,NaN,NaN,NaN,NaN,9.223529457770152e+307,9.510643973634432e+307,NaN,NaN,NaN,NaN
818200800,1.79821,1.80851,1.79491,1.8036100000000002,-7.500264669594208e+307,-7.733736560080816e+307,-7.500264669594208e+307,NaN,NaN,NaN,-7.500264669594208e+307,-7.733736560080816e+307,-7.500264669594208e+307,NaN,NaN,NaN,-7.500264669594208e+307,-7.733736560080816e+307,-7.500264669594208e+307,NaN,NaN,NaN
818287200,1.8036100000000002,1.80431,1.79091,1.79471,1.1394804695305886e+308,1.1749507723950163e+308,NaN,1.1394804695305886e+308,NaN,NaN,1.1394804695305886e+308,1.1749507723950163e+308,NaN,1.1394804695305886e+308,NaN,NaN,1.1394804695305886e+308,1.1749507723950163e+308,NaN,1.1394804695305886e+308,NaN,NaN
818373600,1.79471,1.7959100000000001,1.78481,1.78851,-1.357227314807311e+308,NaN,-1.357227314807311e+308,NaN,NaN,NaN,-1.357227314807311e+308,NaN,-1.357227314807311e+308,NaN,NaN,NaN,-1.357227314807311e+308,NaN,-1.357227314807311e+308,NaN,NaN,NaN
818632800,1.78851,1.80051,1.7856100000000001,1.79221,NaN,-7.24858438173275e+307,NaN,NaN,NaN,NaN,NaN,-7.24858438173275e+307,NaN,NaN,NaN,NaN,NaN,-7.24858438173275e+307,NaN,NaN,NaN,NaN
818719200,1.79221,1.8039100000000001,1.7898100000000001,1.80081,9.78628779819875e+307,5.894305600887183e+307,NaN,NaN,NaN,NaN,9.78628779819875e+307,5.894305600887183e+307,NaN,NaN,NaN,NaN,9.78628779819875e+307,5.894305600887183e+307,NaN,NaN,NaN,NaN
818805600,1.80081,1.81061,1.7979100000000001,1.8098100000000001,-7.957880869288819e+307,-8.954945471303066e+307,NaN,NaN,NaN,NaN,-7.957880869288819e+307,-8.954945471303066e+307,NaN,NaN,NaN,NaN,-7.957880869288819e+307,-8.954945471303066e+307,NaN,NaN,NaN,NaN
818892000,1.8098100000000001,1.81021,1.79301,1.79311,1.2090039790417575e+308,1.0666173682879683e+308,NaN,NaN,NaN,NaN,1.2090039790417575e+308,1.0666173682879683e+308,NaN,NaN,NaN,NaN,1.2090039790417575e+308,1.0666173682879683e+308,NaN,NaN,NaN,NaN
818978400,1.79311,1.79671,1.7874100000000002,1.78881,NaN,-1.3815003763301072e+308,NaN,NaN,NaN,NaN,NaN,-1.3815003763301072e+308,NaN,NaN,NaN,NaN,NaN,-1.3815003763301072e+308,NaN,NaN,NaN,NaN
819237600,1.78881,1.78881,1.76431,1.77071,-7.45866768704803e+307,NaN,NaN,NaN,NaN,NaN,-7.45866768704803e+307,NaN,NaN,NaN,NaN,NaN,-7.45866768704803e+307,NaN,NaN,NaN,NaN,NaN
819324000,1.77071,1.78221,1.76701,1.78221,6.065138295653542e+307,9.425944936321507e+307,NaN,NaN,NaN,NaN,6.065138295653542e+307,9.425944936321507e+307,NaN,NaN,NaN,NaN,6.065138295653542e+307,9.425944936321507e+307,NaN,NaN,NaN,NaN
