time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1307912400,130.34799999999998,131.44799999999998,130.23499999999999,131.374,1.1349441308026032e+308,9.224569664679605e+307,1.1349441308026032e+308,NaN,NaN,NaN,1.1349441308026032e+308,9.224569664679605e+307,1.1349441308026032e+308,NaN,NaN,NaN,1.1349441308026032e+308,9.224569664679605e+307,1.1349441308026032e+308,NaN,NaN,NaN
1307998800,131.374,132.32899999999998,131.05599999999998,131.75199999999998,-1.3126373809358198e+308,-7.214074108338354e+307,NaN,-1.3126373809358198e+308,NaN,NaN,-1.3126373809358198e+308,-7.214074108338354e+307,NaN,-1.3126373809358198e+308,NaN,NaN,-1.3126373809358198e+308,-7.214074108338354e+307,NaN,-1.3126373809358198e+308,NaN,NaN
1308085200,131.75199999999998,132.03599999999997,130.689,131.04999999999998,NaN,1.082643497092817e+308,NaN,NaN,NaN,NaN,NaN,1.082643497092817e+308,NaN,NaN,NaN,NaN,NaN,1.082643497092817e+308,NaN,NaN,NaN,NaN
1308171600,131.04999999999998,131.33999999999997,129.74699999999999,130.24499999999998,9.266754989579153e+307,-1.2521482652244158e+308,NaN,NaN,NaN,NaN,9.266754989579153e+307,-1.2521482652244158e+308,NaN,NaN,NaN,NaN,9.266754989579153e+307,-1.2521482652244158e+308,NaN,NaN,NaN,NaN
1308258000,130.24499999999998,130.357,129.35,129.462,-7.247065138941651e+307,NaN,NaN,-7.247065138941651e+307,NaN,NaN,-7.247065138941651e+307,NaN,NaN,-7.247065138941651e+307,NaN,NaN,-7.247065138941651e+307,NaN,NaN,-7.247065138941651e+307,NaN,NaN
1308517200,129.462,130.236,128.916,130.015,1.0875945863398437e+308,8.839723257148787e+307,1.0875945863398437e+308,NaN,NaN,NaN,1.0875945863398437e+308,8.839723257148787e+307,1.0875945863398437e+308,NaN,NaN,NaN,1.0875945863398437e+308,8.839723257148787e+307,1.0875945863398437e+308,NaN,NaN,NaN
1308603600,130.015,130.357,129.66799999999998,130.265,-1.2578745249103446e+308,-6.913105000274112e+307,NaN,-1.2578745249103446e+308,NaN,NaN,-1.2578745249103446e+308,-6.913105000274112e+307,NaN,-1.2578745249103446e+308,NaN,NaN,-1.2578745249103446e+308,-6.913105000274112e+307,NaN,-1.2578745249103446e+308,NaN,NaN
1308690000,130.265,130.541,128.974,129.02499999999998,NaN,1.0374759201067482e+308,NaN,NaN,NaN,NaN,NaN,1.0374759201067482e+308,NaN,NaN,NaN,NaN,NaN,1.0374759201067482e+308,NaN,NaN,NaN,NaN
1308776400,129.02499999999998,129.36399999999998,128.47299999999998,128.81699999999998,8.880148622361512e+307,-1.199908997802254e+308,NaN,NaN,NaN,NaN,8.880148622361512e+307,-1.199908997802254e+308,NaN,NaN,NaN,NaN,8.880148622361512e+307,-1.199908997802254e+308,NaN,NaN,NaN,NaN
1308862800,128.81699999999998,129.034,128.232,128.47899999999998,-6.944719654518405e+307,NaN,NaN,-6.944719654518405e+307,NaN,NaN,-6.944719654518405e+307,NaN,NaN,-6.944719654518405e+307,NaN,NaN,-6.944719654518405e+307,NaN,NaN,-6.944719654518405e+307,NaN,NaN
1309122000,128.47899999999998,129.54799999999997,128.147,129.326,1.0422204513267506e+308,8.470932531646853e+307,1.0422204513267506e+308,NaN,NaN,NaN,1.0422204513267506e+308,8.470932531646853e+307,1.0422204513267506e+308,NaN,NaN,NaN,1.0422204513267506e+308,8.470932531646853e+307,1.0422204513267506e+308,NaN,NaN,NaN
