time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1229983200,1.48135,1.48977,1.46715,1.47226,9.60327887100654e+307,1.1512297865442982e+308,NaN,9.60327887100654e+307,NaN,NaN,9.60327887100654e+307,1.1512297865442982e+308,NaN,9.60327887100654e+307,NaN,NaN,9.60327887100654e+307,1.1512297865442982e+308,NaN,9.60327887100654e+307,NaN,NaN
1230069600,1.47226,1.48078,1.4658,1.47107,-7.809064150360934e+307,NaN,-7.809064150360934e+307,NaN,NaN,NaN,-7.809064150360934e+307,NaN,-7.809064150360934e+307,NaN,NaN,NaN,-7.809064150360934e+307,NaN,-7.809064150360934e+307,NaN,NaN,NaN
1230242400,1.47107,1.47945,1.46486,1.46526,1.1863949442639058e+308,-7.102243299538874e+307,NaN,NaN,NaN,NaN,1.1863949442639058e+308,-7.102243299538874e+307,NaN,NaN,NaN,NaN,1.1863949442639058e+308,-7.102243299538874e+307,NaN,NaN,NaN,NaN
1230501600,1.46526,1.47721,1.43791,1.43948,NaN,5.77530594316242e+307,NaN,NaN,NaN,NaN,NaN,5.77530594316242e+307,NaN,NaN,NaN,NaN,NaN,5.77530594316242e+307,NaN,NaN,NaN,NaN
1230588000,1.43948,1.45529,1.4387,1.44081,-7.319186527303161e+307,-8.774154803464504e+307,-7.319186527303161e+307,NaN,NaN,NaN,-7.319186527303161e+307,-8.774154803464504e+307,-7.319186527303161e+307,NaN,NaN,NaN,-7.319186527303161e+307,-8.774154803464504e+307,-7.319186527303161e+307,NaN,NaN,NaN
1230674400,1.44081,1.46984,1.4351099999999999,1.4542,5.951716896687101e+307,1.0450835167464994e+308,NaN,5.951716896687101e+307,NaN,NaN,5.951716896687101e+307,1.0450835167464994e+308,NaN,5.951716896687101e+307,NaN,NaN,5.951716896687101e+307,1.0450835167464994e+308,NaN,5.951716896687101e+307,NaN,NaN
1230847200,1.4542,1.46778,1.43768,1.44973,-9.042167793682776e+307,-1.3536093772775359e+308,-9.042167793682776e+307,NaN,NaN,NaN,-9.042167793682776e+307,-1.3536093772775359e+308,-9.042167793682776e+307,NaN,NaN,NaN,-9.042167793682776e+307,-1.3536093772775359e+308,-9.042167793682776e+307,NaN,NaN,NaN
1231106400,1.44973,1.4740199999999999,1.44278,1.47004,1.0770063588463968e+308,NaN,NaN,1.0770063588463968e+308,NaN,NaN,1.0770063588463968e+308,NaN,NaN,1.0770063588463968e+308,NaN,NaN,1.0770063588463968e+308,NaN,NaN,1.0770063588463968e+308,NaN,NaN
1231192800,1.47004,1.49918,1.4502599999999999,1.49194,-1.394956367947041e+308,9.235645298483616e+307,NaN,NaN,NaN,NaN,-1.394956367947041e+308,9.235645298483616e+307,NaN,NaN,NaN,NaN,-1.394956367947041e+308,9.235645298483616e+307,NaN,NaN,NaN,NaN
1231279200,1.49194,1.52821,1.48034,1.50882,NaN,-7.510116864728585e+307,NaN,NaN,NaN,NaN,NaN,-7.510116864728585e+307,NaN,NaN,NaN,NaN,NaN,-7.510116864728585e+307,NaN,NaN,NaN,NaN
1231365600,1.50882,1.53741,1.49824,1.52153,9.517754854160076e+307,1.1409772679013363e+308,NaN,9.517754854160076e+307,NaN,NaN,9.517754854160076e+307,1.1409772679013363e+308,NaN,9.517754854160076e+307,NaN,NaN,9.517754854160076e+307,1.1409772679013363e+308,NaN,9.517754854160076e+307,NaN,NaN
1231452000,1.52153,1.53495,1.51126,1.51667,-7.739518889526436e+307,-1.3590101410056177e+308,-7.739518889526436e+307,NaN,NaN,NaN,-7.739518889526436e+307,-1.3590101410056177e+308,-7.739518889526436e+307,NaN,NaN,NaN,-7.739518889526436e+307,-1.3590101410056177e+308,-7.739518889526436e+307,NaN,NaN,NaN
1231711200,1.51667,1.51667,1.48082,1.48211,1.1758292549235578e+308,NaN,NaN,1.1758292549235578e+308,NaN,NaN,1.1758292549235578e+308,NaN,NaN,1.1758292549235578e+308,NaN,NaN,1.1758292549235578e+308,NaN,NaN,1.1758292549235578e+308,NaN,NaN
1231797600,1.48211,1.48289,1.44703,1.4496499999999999,NaN,9.79914286682318e+307,NaN,NaN,NaN,NaN,NaN,9.79914286682318e+307,NaN,NaN,NaN,NaN,NaN,9.79914286682318e+307,NaN,NaN,NaN,NaN
