time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1170626400,1.2472,1.2519,1.2468,1.2484,1.054785348686716e+308,1.3442768074649168e+308,NaN,1.054785348686716e+308,NaN,NaN,1.054785348686716e+308,1.3442768074649168e+308,NaN,1.054785348686716e+308,NaN,NaN,1.054785348686716e+308,1.3442768074649168e+308,NaN,1.054785348686716e+308,NaN,NaN
1170712800,1.2484,1.2497,1.2387,1.2397,-1.3661753497386948e+308,NaN,-1.3661753497386948e+308,NaN,NaN,NaN,-1.3661753497386948e+308,NaN,-1.3661753497386948e+308,NaN,NaN,NaN,-1.3661753497386948e+308,NaN,-1.3661753497386948e+308,NaN,NaN,NaN
1170799200,1.2397,1.2424,1.238,1.2412,NaN,-9.171969391712017e+307,NaN,NaN,NaN,NaN,NaN,-9.171969391712017e+307,NaN,NaN,NaN,NaN,NaN,-9.171969391712017e+307,NaN,NaN,NaN,NaN
1170885600,1.2412,1.2510999999999999,1.2401,1.2457,9.321382636322684e+307,7.458337753917479e+307,NaN,NaN,NaN,NaN,9.321382636322684e+307,7.458337753917479e+307,NaN,NaN,NaN,NaN,9.321382636322684e+307,7.458337753917479e+307,NaN,NaN,NaN,NaN
1170972000,1.2457,1.2522,1.2453,1.2484,-7.579835591036517e+307,-1.133110707440063e+308,NaN,NaN,NaN,NaN,-7.579835591036517e+307,-1.133110707440063e+308,NaN,NaN,NaN,NaN,-7.579835591036517e+307,-1.133110707440063e+308,NaN,NaN,NaN,NaN
1171231200,1.2484,1.2550999999999999,1.2459,1.2534,1.1515693110475597e+308,1.3496403351887423e+308,NaN,1.1515693110475597e+308,NaN,NaN,1.1515693110475597e+308,1.3496403351887423e+308,NaN,1.1515693110475597e+308,NaN,NaN,1.1515693110475597e+308,1.3496403351887423e+308,NaN,1.1515693110475597e+308,NaN,NaN
1171317600,1.2534,1.2538,1.2442,1.2467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171404000,1.2467,1.2476,1.2368,1.2397,-7.104337916666144e+307,-9.731581880290722e+307,NaN,NaN,NaN,NaN,-7.104337916666144e+307,-9.731581880290722e+307,NaN,NaN,NaN,NaN,-7.104337916666144e+307,-9.731581880290722e+307,NaN,NaN,NaN,NaN
1171490400,1.2397,1.2408,1.233,1.2344,5.777009215527725e+307,7.913395852443382e+307,NaN,5.777009215527725e+307,NaN,NaN,5.777009215527725e+307,7.913395852443382e+307,NaN,5.777009215527725e+307,NaN,NaN,5.777009215527725e+307,7.913395852443382e+307,NaN,5.777009215527725e+307,NaN,NaN
1171576800,1.2344,1.2384,1.2334,1.2343,-8.776742506272411e+307,-1.2022455764899638e+308,-8.776742506272411e+307,NaN,NaN,NaN,-8.776742506272411e+307,-1.2022455764899638e+308,-8.776742506272411e+307,NaN,NaN,NaN,-8.776742506272411e+307,-1.2022455764899638e+308,-8.776742506272411e+307,NaN,NaN,NaN
1171836000,1.2327,1.2352,1.2314,1.2324,1.0453917362401554e+308,NaN,NaN,1.0453917362401554e+308,NaN,NaN,1.0453917362401554e+308,NaN,NaN,1.0453917362401554e+308,NaN,NaN,1.0453917362401554e+308,NaN,NaN,1.0453917362401554e+308,NaN,NaN
1171922400,1.2324,1.2393,1.2312,1.2364,-1.354008588240284e+308,7.416973300922783e+307,NaN,NaN,NaN,NaN,-1.354008588240284e+308,7.416973300922783e+307,NaN,NaN,NaN,NaN,-1.354008588240284e+308,7.416973300922783e+307,NaN,NaN,NaN,NaN
1172008800,1.2364,1.2414,1.2339,1.2378,NaN,-6.031233819866113e+307,NaN,NaN,NaN,NaN,NaN,-6.031233819866113e+307,NaN,NaN,NaN,NaN,NaN,-6.031233819866113e+307,NaN,NaN,NaN,NaN
1172095200,1.2378,1.2437,1.2371,1.2379,9.238369105597469e+307,9.162974171792297e+307,NaN,NaN,NaN,NaN,9.238369105597469e+307,9.162974171792297e+307,NaN,NaN,NaN,NaN,9.238369105597469e+307,9.162974171792297e+307,NaN,NaN,NaN,NaN
1172181600,1.2379,1.2411,1.2295,1.2328999999999999,-7.512331773279196e+307,-1.0913955230802278e+308,NaN,NaN,NaN,NaN,-7.512331773279196e+307,-1.0913955230802278e+308,NaN,NaN,NaN,NaN,-7.512331773279196e+307,-1.0913955230802278e+308,NaN,NaN,NaN,NaN
1172440800,1.2328999999999999,1.2333,1.2287,1.2299,1.141313768697828e+308,1.4135934503677227e+308,NaN,1.141313768697828e+308,NaN,NaN,1.141313768697828e+308,1.4135934503677227e+308,NaN,1.141313768697828e+308,NaN,NaN,1.141313768697828e+308,1.4135934503677227e+308,NaN,1.141313768697828e+308,NaN,NaN
1172527200,1.2299,1.2307,1.2143,1.2173,-1.3594109447794998e+308,NaN,-1.3594109447794998e+308,NaN,NaN,NaN,-1.3594109447794998e+308,NaN,-1.3594109447794998e+308,NaN,NaN,NaN,-1.3594109447794998e+308,NaN,-1.3594109447794998e+308,NaN,NaN,NaN
1172613600,1.2173,1.2243,1.2169,1.2194,NaN,-9.644915234049149e+307,NaN,NaN,NaN,NaN,NaN,-9.644915234049149e+307,NaN,NaN,NaN,NaN,NaN,-9.644915234049149e+307,NaN,NaN,NaN,NaN
1172700000,1.2194,1.2237,1.2147,1.2216,9.802032862507042e+307,7.842921443724462e+307,NaN,NaN,NaN,NaN,9.802032862507042e+307,7.842921443724462e+307,NaN,NaN,NaN,NaN,9.802032862507042e+307,7.842921443724462e+307,NaN,NaN,NaN,NaN
1172786400,1.2216,1.2262,1.2145,1.2164,-7.970684227275877e+307,-1.1915387260154097e+308,NaN,NaN,NaN,NaN,-7.970684227275877e+307,-1.1915387260154097e+308,NaN,NaN,NaN,NaN,-7.970684227275877e+307,-1.1915387260154097e+308,NaN,NaN,NaN,NaN
